"Post ID","Post Type","Post Content","Post Author","Audience Segment","Country","Language","Platform"
"1","Image","""Check out our latest summer collection!""","John Doe","Women","USA","English","Instagram"
"2","Video","""Watch how our new product can improve your life!""","Jane Smith","All","UK","English","Facebook"
"3","Image","""Limited time offer! Get 20% off today!""","Mark Johnson","Men","France","English","Twitter"
"4","Video","""Discover the benefits of our product now!""","Sarah Brown","All","Canada","English","Instagram"
"5","Image","""Introducing our new arrivals!""","John Doe","Women","USA","English","Facebook"
"6","Text","""Read our latest blog post on industry trends!""","Jane Smith","All","UK","English","Twitter"
"7","Video","""Join us for an exclusive live event!""","Mark Johnson","All","Germany","English","Instagram"
"8","Image","""Get inspired with our style guide!""","Sarah Brown","Women","Canada","English","Facebook"
"9","Text","""Sign up for our newsletter and get a discount!""","John Doe","All","USA","English","Twitter"
"10","Image","""Explore our new collection for spring!""","Jane Smith","Women","UK","English","Instagram"
"11","Video","""Discover the secrets behind our product!""","Mark Johnson","All","USA","English","Facebook"
"12","Image","""Limited stock available! Grab yours now!""","Sarah Brown","All","Belgium","English","Twitter"
"13","Text","""Stay tuned for exciting updates!""","John Doe","All","USA","English","Instagram"
"14","Video","""Join us for a live Q&A session!""","Jane Smith","All","UK","English","Facebook"
"15","Image","""Upgrade your wardrobe with our latest collection!""","Mark Johnson","Men","USA","English","Twitter"
"16","Text","""Get ready for the holiday season!""","Sarah Brown","All","Canada","English","Instagram"
"17","Video","""Learn how to style your hair like a pro!""","John Doe","Women","USA","English","Facebook"
"18","Image","""Limited time offer! Buy one, get one free!""","Jane Smith","All","UK","English","Twitter"
"19","Text","""Discover the latest trends in home decor!""","Mark Johnson","All","USA","English","Instagram"
"20","Video","""Join our loyalty program and enjoy exclusive perks!""","Sarah Brown","All","Canada","English","Facebook"
"21","Image","""Stay active with our fitness tips!""","John Doe","Men","USA","English","Twitter"
"22","Text","""Find the perfect gift for your loved ones!""","Jane Smith","All","UK","English","Instagram"
"23","Video","""Discover the flavors of our new menu!""","Mark Johnson","All","USA","English","Facebook"
"24","Image","""Upgrade your gaming setup with our latest accessories!""","Sarah Brown","All","Canada","English","Twitter"
"25","Text","""Join our community and connect with like-minded people!""","John Doe","All","USA","English","Instagram"
"26","Video","""Learn how to make delicious recipes at home!""","Jane Smith","All","UK","English","Facebook"
"27","Image","""Get the perfect look for your special occasion!""","Mark Johnson","Women","USA","English","Twitter"
"28","Text","""Stay updated with the latest industry news!""","Sarah Brown","All","Monaco","English","Instagram"
"29","Video","""Join our webinar and gain valuable insights!""","John Doe","All","Morroco","English","Facebook"
"30","Image","""Discover the beauty of our natural products!""","Jane Smith","All","UK","English","Twitter"
"31","Text","""Get inspired by our stunning travel photography!""","Mark Johnson","All","USA","English","Instagram"
"32","Video","""Learn new skills with our online courses!""","Sarah Brown","All","Slovenia","English","Facebook"
"33","Image","""Find the perfect fit with our size guide!""","John Doe","All","USA","English","Twitter"
"34","Text","""Discover our eco-friendly products!""","Jane Smith","All","UK","English","Instagram"
"35","Video","""Get motivated with our inspirational videos!""","Mark Johnson","All","USA","English","Facebook"
"36","Image","""Unlock exclusive discounts with our loyalty program!""","Sarah Brown","All","Canada","English","Twitter"
"37","Text","""Join our community and share your experiences!""","John Doe","All","USA","English","Instagram"
"38","Video","""Discover the art of interior design!""","Jane Smith","All","UK","English","Facebook"
"39","Image","""Improve your productivity with our time management tips!""","Mark Johnson","All","USA","English","Twitter"
"40","Text","""Upgrade your skincare routine with our new products!""","Sarah Brown","Women","Canada","English","Instagram"
"41","Video","""Learn how to create stunning visual effects!""","John Doe","All","Egypt","English","Facebook"
"42","Image","""Discover our collection of handmade accessories!""","Jane Smith","All","UK","English","Twitter"
"43","Text","""Stay motivated on your fitness journey!""","Mark Johnson","All","USA","English","Instagram"
"44","Video","""Join our live cooking class and learn new recipes!""","Sarah Brown","All","Canada","English","Facebook"
"45","Image","""Get the perfect look with our makeup tips!""","John Doe","Women","USA","English","Twitter"
"46","Text","""Discover our collection of classic novels!""","Jane Smith","All","UK","English","Instagram"
"47","Video","""Learn how to play the guitar like a pro!""","Mark Johnson","All","USA","English","Facebook"
"48","Image","""Upgrade your home office with our ergonomic furniture!""","Sarah Brown","All","Canada","English","Twitter"
"49","Text","""Stay informed with our daily news updates!""","John Doe","All","USA","English","Instagram"
"50","Video","""Join our online workshop and learn new skills!""","Jane Smith","All","UK","English","Facebook"
